is_genuine,diagonal,height_left,height_right,margin_low,margin_up,length
TRUE,172.49,104.33,104.03,4.28,03.07,112.71
TRUE,172.75,104.33,103.97,4.34,3.14,113.12
TRUE,171.66,104.17,104.16,4.75,2.94,113.52
TRUE,172.4,104.19,103.98,04.08,2.93,113.44
TRUE,172.2,103.93,103.49,3.8,2.99,113.63
TRUE,172.21,104.27,104.01,4.23,2.79,113.78
TRUE,171.13,104.28,103.14,4.16,2.92,113.0
TRUE,171.51,103.85,103.36,4.49,2.8,113.87
TRUE,171.81,104.1,103.69,4.29,2.95,112.72
TRUE,171.88,103.66,103.52,4.66,2.75,113.25
TRUE,171.91,104.34,103.77,4.45,2.95,112.66
TRUE,171.79,103.51,103.25,04.05,03.08,112.71
TRUE,171.44,103.52,103.49,04.09,3.12,113.23
TRUE,171.85,103.9,103.74,4.13,03.07,113.15
TRUE,171.81,103.91,103.78,3.66,3.28,113.59
TRUE,171.73,103.82,103.85,3.97,3.12,112.85
TRUE,171.59,103.23,103.64,04.01,2.94,113.59
TRUE,171.71,103.83,103.51,3.8,03.02,113.01
TRUE,172.22,104.48,104.06,4.59,2.91,112.82
TRUE,171.59,104.06,103.99,3.93,3.24,112.8
TRUE,172.32,104.16,104.14,3.78,3.25,113.38
TRUE,171.62,103.49,103.58,3.95,3.0,113.1
TRUE,172.14,103.74,103.52,4.56,2.83,113.43
TRUE,172.53,103.99,103.55,4.5,3.1,113.03
TRUE,171.97,103.69,103.54,4.39,2.7,112.79
TRUE,172.09,104.06,103.9,3.97,3.32,113.09
TRUE,172.07,103.97,103.84,04.05,3.12,113.18
TRUE,172.11,103.67,103.43,4.19,2.98,113.09
TRUE,172.22,103.75,103.49,3.69,3.17,113.14
TRUE,172.33,103.83,103.54,3.98,3.18,113.31
TRUE,171.65,103.95,103.61,04.03,3.25,113.06
TRUE,171.99,103.97,103.89,4.22,3.17,113.12
TRUE,172.16,104.43,104.06,4.51,3.19,112.69
TRUE,171.73,103.6,103.34,3.82,3.15,112.89
TRUE,171.79,103.74,103.48,4.6,2.8,113.35
TRUE,172.05,103.72,103.81,4.21,2.97,113.61
TRUE,171.94,104.11,104.16,04.08,3.35,111.76
TRUE,171.04,103.84,103.64,4.22,3.36,112.7
TRUE,172.17,103.93,103.62,04.06,03.08,113.1
TRUE,171.97,103.69,104.17,4.32,3.0,112.82
TRUE,171.52,103.92,103.66,3.81,3.15,113.54
TRUE,172.1,103.94,103.75,3.66,3.2,113.78
TRUE,171.35,103.7,103.43,3.71,3.22,113.28
TRUE,171.92,103.93,104.06,4.38,2.97,113.01
TRUE,171.69,103.85,103.53,3.86,3.19,112.68
TRUE,172.16,104.39,103.85,3.77,3.32,112.55
TRUE,171.7,103.88,103.56,3.89,03.03,113.6
TRUE,172.07,103.74,103.76,4.3,03.09,112.41
TRUE,171.95,103.84,103.68,3.79,03.09,112.68
TRUE,172.17,103.75,103.29,4.43,2.88,113.38
TRUE,172.14,104.06,103.96,3.97,3.24,113.07
TRUE,172.3,104.58,104.17,4.36,3.33,112.98
TRUE,172.1,103.95,103.72,4.49,03.07,113.15
TRUE,172.16,103.92,103.76,4.35,2.84,113.21
TRUE,172.02,103.73,103.31,4.35,03.07,113.62
TRUE,171.91,104.28,103.92,3.64,3.36,113.15
TRUE,171.99,103.91,103.79,04.05,3.11,113.67
TRUE,171.77,103.73,103.48,4.21,2.92,113.24
TRUE,172.3,104.04,103.93,4.33,2.92,113.19
TRUE,171.86,103.47,103.59,04.04,2.97,113.22
TRUE,171.64,103.58,103.46,3.72,3.2,113.3
TRUE,171.79,103.65,103.61,4.19,03.06,113.6
TRUE,172.49,103.92,103.91,4.42,2.84,113.38
TRUE,172.0,104.32,104.26,4.53,03.04,112.93
TRUE,171.49,103.77,103.6,04.01,03.09,112.95
TRUE,172.1,103.98,103.86,4.47,03.06,113.0
TRUE,171.81,103.96,103.47,4.0,3.0,113.1
FALSE,171.45,104.03,104.26,4.88,3.44,111.92
FALSE,171.97,104.38,104.18,5.59,3.47,110.98
FALSE,171.94,104.21,104.1,4.28,3.47,112.23
FALSE,172.04,104.34,104.48,4.88,3.28,112.15
FALSE,171.75,104.16,104.23,5.75,3.25,111.68
FALSE,171.99,104.18,104.2,5.26,3.23,111.83
FALSE,172.22,104.17,104.07,4.52,3.67,112.13
FALSE,171.79,104.05,104.3,05.02,3.44,112.01
FALSE,172.04,104.17,103.9,05.05,3.62,111.56
FALSE,172.22,104.41,104.64,5.2,3.37,112.2
FALSE,172.1,104.3,104.21,04.07,3.41,111.27
FALSE,172.09,104.4,104.21,5.28,3.41,112.11
FALSE,172.32,104.6,104.83,4.84,3.51,112.55
FALSE,171.89,104.32,103.94,5.64,3.3,111.56
FALSE,172.1,104.22,103.99,5.26,3.24,111.94
FALSE,172.43,104.32,103.95,4.13,3.39,111.5
FALSE,171.78,104.51,104.06,5.9,3.18,111.91
FALSE,171.75,104.36,104.02,6.0,3.13,111.79
FALSE,171.83,104.39,104.17,5.51,3.33,113.64
FALSE,171.51,104.13,103.9,4.99,3.6,111.23
FALSE,171.84,104.23,104.31,5.1,3.68,111.72
FALSE,172.07,104.5,104.23,6.19,03.07,111.21
FALSE,172.29,104.72,104.86,5.71,3.16,112.15
FALSE,172.05,104.6,104.32,5.12,3.35,111.78
FALSE,171.74,104.4,104.39,4.87,03.06,112.0
FALSE,171.91,103.99,104.23,05.01,3.42,111.77
FALSE,171.99,104.28,104.32,4.71,3.45,112.18
FALSE,172.4,104.55,104.22,5.18,3.51,111.94
FALSE,172.08,104.15,104.17,4.96,3.4,112.29
FALSE,171.62,104.14,104.45,4.94,3.66,111.93
FALSE,171.43,104.14,103.95,5.34,3.14,111.76
FALSE,171.56,104.17,103.87,6.16,3.38,111.55
FALSE,171.94,104.37,104.14,5.37,3.46,111.94
FALSE,171.69,104.17,104.37,5.31,3.54,111.89
FALSE,171.38,104.04,104.2,5.54,3.38,112.8
FALSE,171.86,104.12,104.1,06.01,3.34,111.91
FALSE,171.69,103.87,104.16,5.46,3.31,111.42
FALSE,171.94,104.56,104.25,4.6,3.37,110.64
FALSE,171.65,104.32,104.38,5.65,3.24,112.3
FALSE,171.6,104.37,104.2,5.82,03.08,112.84
FALSE,171.83,104.18,104.26,5.0,3.6,111.55
FALSE,171.74,103.96,103.47,5.14,3.3,111.4
FALSE,171.69,104.18,104.28,5.62,3.23,110.53
FALSE,172.0,104.46,104.3,5.27,3.37,111.85
FALSE,171.56,103.8,103.87,5.66,2.98,112.95
FALSE,171.95,104.47,104.34,5.92,3.1,113.17
FALSE,171.98,104.44,104.26,5.75,3.2,110.93
FALSE,172.25,104.52,104.22,4.65,3.43,110.48
FALSE,171.67,104.16,104.08,5.42,3.3,111.63
FALSE,171.91,103.91,103.98,4.78,3.65,111.41
FALSE,171.95,104.26,103.97,5.88,3.16,112.44
FALSE,171.68,103.89,103.7,5.97,03.03,109.97
FALSE,171.67,103.79,103.44,5.13,3.32,111.47
FALSE,171.61,104.04,104.06,6.19,03.08,110.73
FALSE,171.62,104.21,103.99,5.5,3.45,111.35
FALSE,172.1,103.98,104.28,5.78,3.16,111.09
FALSE,171.38,103.78,103.7,5.22,3.43,111.6
FALSE,171.53,104.03,104.05,5.77,3.22,111.93
FALSE,171.84,104.32,104.5,6.28,3.0,111.06
FALSE,171.72,104.46,104.12,4.21,3.61,110.31
FALSE,172.5,104.07,103.71,3.82,3.63,110.74
FALSE,171.92,104.37,104.05,4.95,03.04,110.61
FALSE,171.67,104.12,103.98,5.68,3.18,111.55
FALSE,171.78,104.07,104.16,5.77,3.3,111.27
FALSE,171.43,104.26,103.97,5.73,3.14,111.82
FALSE,172.11,104.23,104.45,5.24,3.58,111.78
FALSE,173.01,104.59,104.31,05.04,03.05,110.91
FALSE,172.47,104.27,104.1,4.88,3.33,110.68
FALSE,171.82,103.97,103.88,4.73,3.55,111.87
FALSE,171.96,104.0,103.95,5.63,3.26,110.96
